,Link,Date Time,Category,Title,Content
0,https://radarmalang.jawapos.com/politik-pemerintahan/01/12/2020/debat-terakhir-paslon-adu-inovasi-layanan-publik,1 December 2020 2:31 PM,POLITIK & PEMERINTAHAN,"Debat Terakhir, Paslon Adu Inovasi Layanan Publik","MALANG — Malam ini (1/12), tiga paslon Pilkada Kabupaten Malang 9 Desember ‘adu’ program inovasi ‘tata kelola pemerintahan dan pelayanan publik’ dalam debat pamungkas di gedung DPRD Kabupaten Malang. Total ada sembilan panelis yang dilibatkan dalam debat ini. Rinciannya, enam panelis dari kalangan akademisi, yaitu Universitas Brawijaya (UB), Universitas Muhammadiyah Malang (UMM) dan kampus Al Qolam. Sedangkan, tiga panelis lainnya dari kalangan praktisi, salah satunya dokter. “Yang merumuskan materi debat ada sembilan panelis. Mereka dari akademisi dan praktisi,” kata Marhaendra Pramudya Mahardika, Divisi Sosialisasi, Pendidikan Pemilih, Partisipasi Masyarakat, dan SDM KPU Kabupaten Malang, Selasa (1/12). Menurutnya, durasi waktu tanya-jawab paslon tidak ada bedanya dengan debat kedua, pada 20 November lalu. Yaitu tiap pertanyaan diberikan waktu 2 menit untuk menjawab dan 3 menit untuk penyampaikan visi-misi paslon. “Kalau total sesinya (segmen) ada enam,” jelas pria yang juga hobi fotografi ini. Seperti diketahui, tahapan Pilkada Kabupaten Malang saat ini adalah kampanye terbuka (rapat umum terbatas). Sedangkan, jumlah kontestan dalam Pilkada nanti ada tiga paslon. Yaitu Malang Makmur Sanusi-Didik Gatot Subroto (Sandi), Malang Bangkit Lathifah Sohib-Didik Budi (Ladub) dan Malang Jejeg Heri Cahyono-Gunadi Handoko. Pewarta: Imam N"
1,https://radarmalang.jawapos.com/malang-raya/kota-malang/18/11/2020/diduga-bunuh-diri-pria-adu-banteng-dengan-ka-tawang-alun,18 November 2020 7:08 PM,KOTA MALANG,"Diduga Bunuh Diri, Pria “Adu Banteng” dengan KA Tawang Alun","MALANG KOTA — Kecelakaan kereta api terjadi di depan LP Lowokwaru, jalan Asahan nomor 7, Bunulrejo, Kecamatan Blimbing. Seorang pria, diduga sengaja menabrakkan diri ke kereta api Tawang Alun (Malang Kotalama – Ketapang, Banyuwangi) hari ini, Rabu (18/11). Berdasarkan keterangan saksi mata, korban terlihat berjalan di lokasi kejadian. Bahkan, beberapa detik sebelum kejadian, ada saksi mata yang mengingatkan jika ada kereta melintas. Namun, peringatan ini tak diindahkan olehnya.
Sehingga, terjadilah peristiwa tersebut. “Bukan warga sini. Dia tadi bawa HP dan HT,” kata M Zain, salah satu saksi kejadian, Rabu (18/11).   Menurutnya, kemungkinan besar, korban yang belum diketahui identitasnya tersebut bekerja sebagai petugas keamanan. Namun, petugas keamanan dimana masih belum ada yang mengetahuinya. “Kemungkinan kalau nggak satpam ya petugas,” jelas pria 48 tahun ini. Tak pelak, kejadian tersebut membuat warga sekitar heboh. Sehingga, ada juga yang mendekat untuk melihat siapa mr X tersebut. Pewarta: Imam N"
2,https://radarmalang.jawapos.com/olahraga/15/11/2020/pantau-kondisi-terkini-atlet-koni-kota-batu-gelar-tes-fisik,15 November 2020 6:16 PM,SPORT,"Pantau Kondisi Terkini Atlet, KONI Kota Batu Gelar Tes Fisik","KOTA BATU – Pusat latihan kota (Puslatkot) yang sudah dimulai setelah vakum pandemi beberapa bulan lalu menyebabkan Komite Olahraga Nasional (KONI) Kota Batu menggelar tes fisik untuk monitoring kondisi atlet terkini. Tes digelar di GOR Gajahmada, Kota Batu, Minggu (15/11). “Tes fisik ini dilakukan secara lengkap per spesifikasi cabang olahraga (cabor) masing-masing. Ini dilakukan sebagai pegangan pelatih untuk menentukan program latihan yang tepat,” jelas Ketua KONI Kota Batu Mahfud. Mahfud mengatakan, tercatat ada 96 atlet dari 19 cabor yang mengikuti tes tersebut. Jumlah itu masih belum seluruh atlet dari semua cabor.
Menurut dia, ada 9 cabor sisa yang akan menyusul untuk mengadakan tes. Hal tersebut lantaran mereka mendahulukan cabor yang berpeluang tinggi memperoleh medali di Pekan Olahraga Provinsi (Porprov) 2022 mendatang. “Kami dahulukan dulu yang berpeluang tinggi mendapatkan medali. Untuk sisanya ditangani Pengurus Cabang (Pengcab) masing-masing sebelum dilimpahkan ke KONI,” terangnya. Protokol kesehatan (Prokes) juga diperketat demi keamanan atlet yang hadir. Mereka menggelar tes secara bergantian per cabor. Peserta lain menunggu di tribun ataupun di luar stadion. Pengecekan suhu tubuh juga tetap dilakukan. Selain itu, matras selalu disemprot menggunakan desinfektan setiap ganti atlet. Total item tes berjumalah 24 pos. setiap cabor rata – rata melakukan 12 item tes sesuai dengan kebutuhan cabor masing – masing. Koordinator Tim Tes Fisik Universitas Negeri Malang Imam Hariyadi menjelaskan beberapa tes yang ada. Contohnya balance beam yang digunakan untuk mengukur keseimbangan. Ada juga beep test yang menjadi tes ukur daya tahan seorang atlet. “Setiap cabor tidak bisa disamakan, karena kebutuhan item fisik dominannya juga berbeda. Disini kami sesuaikan agar maksimal ke spesifik cabor,” ungkapnya. Ia berharap melalui acara ini, bisa mengukur atlet yang memiliki potensi besar. Sehingga bisa memaksimalkan program latihan demi raihan prestasi. Pewarta: Wildan Agta Affirdausy"
