,Link,Date Time,Category,Title,Content
0,https://radargresik.jawapos.com/pojok-perkoro/08/01/2021/tabrak-truk-dari-belakang-pemotor-asal-balongpanggang-tewas,8 January 2021 10:46 AM,POJOK PERKORO,"Tabrak Truk dari Belakang, Pemotor asal Balongpanggang Tewas","GRESIK— Nasib nahas dialami Siti Nur Janah, 24, warga Dusun Mojolebak RT 2/RW 3, Desa Mojogede, Kecamatan Balongpanggang. Korban harus meregang nyawa usai menabrak truk dari belakang di Jalan Dadap Kuning, Kecamatan Cerme Kamis (7/1) pukul 19.00 malam. Peristiwa tersebut bermula saat kedua korban yang berboncengan dengan Amanda Maulidah Nur Kusumah,14, mengendarai motor Honda Vario melaju dari arah timur ke barat dengan kecepatan sedang. Sesampainya di tempat kejadian, korban tidak memperhatikan arah depannya sehingga menabrak truk tronton Nopol BM 9523 EU yang dikemudikan Setevan Krisbiantoro, 22, warga Desa Sidomulyo RT 32/RW 10, Kecamatan Kedungadem, Kabupaten Bojonegoro. “Pengendara motor tidak memperhatikan arah depan sehingga membentur bagian belakang sebelah kanan truck,” ujar Kanitlaka Satlantas Polres Gresik, Ipda Yossy Eka Prasetya. Akibat kecelakaan tersebut kedua pengendara motor mengalami luka dan saat dibawa ke RS. Wates Husada Balongpanggang untuk dimintakan VER Luka di perjalanan korban Siti Nur Janah meninggal karena luka cukup parah di kepalanya. (yud/rof)"
1,https://radargresik.jawapos.com/pojok-perkoro/06/01/2021/dua-budak-sabu-ditangkap,6 January 2021 01:41 AM,POJOK PERKORO,Dua Budak Sabu Ditangkap,"GRESIK– Dua pengedar sabu-sabu diringkus Satreskoba Polres Gresik di dua TKP berbeda. Kedua pelaku yakni Dedik Prasetyo ,25, asal Jalan Usman Sadar 4 Gg.9B RT 01 RW 02 Kelurahan Karangturi, Kecamatan Gresik. Berikutnya Abdul Somad ,30, Jalan Sindujoyo 2-H/9 Kelurahan Kroman RT 18 Rw 2, Kecamatan Gresik dan alamat kost Jalan RA Kartini Gg 18 No.35 kelurahan Sidomoro, Kecamatan Kebomas. Kasatreskoba Polres Gresik AKP Herri Kusnanto mengatakan, penangkapan Dedik Prasetyo bermula dari informasi masyarakat ada peredaran narkoba jensi sabu di daerah Jalan Usman Sadar Gresik. “Selain mengamankan pelaku, kami juga mengamankan barang bukti baik itu sabu, maupun ponsel,” ujarnya, Selasa (5/01). Barang bukti milik pelaku antara lain, dua klip plastik berisi sabu dengan berat timbang mulai 0,34 hingga 0,32 gram serta satu buah ponsel. Di TKP yang berbeda itu, petugas juga meringkus Abdul Somad ,30, yang mengedarkan sabu di Jalan RA.Kartini 18/35 Gresik. Pelaku diamankan usai melakukan transaksi narkoba jenis sabu. “Dari tangan pelaku kami menyita 8 klip plastik sabu dengan berat timbang 1,34, 1,06, 1,04, 1,02, 0,98, 0,38, 0,38 dan 1,36 Gram berikut bungkusnya. Selanjutnya, pelaku beserta barang bukti dibawa ke Polres Gresik untuk dilakukan proses hukum,” ungkapnya. Di samping menyita barang bukti berupa sabu. Anggotanya di lapangan juga mengamankan uang senilai Rp 1 juta, satu ponsel dan alat timbangan elektronik serta alat hisap. “Semua pelaku tersebut sudah ditahan usai menjalani pemeriksaan. Kedua pelaku juga dijerat dengan pasal 114 ayat (2)Subs Pasal 112 (ayat (2) UU RI nomor 35 Tahun 2009 tentang Narkotika.(yud/han)"
2,https://radargresik.jawapos.com/pojok-perkoro/05/01/2021/bawa-sabu-warga-kebonsari-diringkus,5 January 2021 01:42 AM,POJOK PERKORO,"Bawa Sabu, Warga Kebonsari Diringkus","GRESIK– Rencana Kurdiyanto, 26, untuk berpesta sabu gagal total. Pemuda asal Jalan Kebonsari Tengah 15 RT 003/RW 001 Kelurahan Kebonsari Kecamatan Jambangan, Kota Surabaya lebih dulu ditangkap jajaran Satreskoba Polres Gresik saat berada di depan minimarket Jalan Legundi, Kecamatan Driyorejo, Selasa (29/12). Sebelum ditangkap, gerak-gerik pemuda lulusan SD ini telah dipantau dan dibuntuti polisi. Setelah dipastikan, polisi langsung meringkus pelaku. Kasatreskoba Polres Gresik AKP Hery Kusnanto mengungkapkan, Kurdiyanto tidak berkutik saat diringkus. Dari penggeledahan, pihaknya berhasil menemukan satu poket siap konsumsi. “Tersangka kedapatan menguasai satu plastik klip sabu berisi kristal putih sabu seberat 0,36 gram yang disimpan di dalam bungkus pembalut wanita,” ujarnya, Senin (4/1). Ditambahkan Herry sabu – sabu tersebut rencananya akan dikonsumsi sendiri oleh tersangka. Tersangka mengaku mendapatkan barang haram tersebut dari salah seorang rekannya. “Tersangka mengakui bahwa sabu – sabu tersebut adalah miliknya dan akan dikonsumsi sendiri,” pungkasnya. Selain mengamankan satu klip sabu, polisi juga menyita barang bukti lainnya berupa satu buah HP yang digunakan sebagai media transaksi dan satu unit sepeda motor Yamaha Mio L 6842 SH yang digunakan sebagai moda transportasi untuk transaksi pembelian. Tersangka dijerat dengan pasal 114 ayat (1) subsider pasal 112 ayat (1) UU RI No. 35 Tahun 2009. (yud/rof)"
3,https://radargresik.jawapos.com/pojok-perkoro/29/10/2020/terdakwa-penganiayaan-takmir-masjid-bantah-tarik-alat-kelamin-korban,29 October 2020 19:37 PM,POJOK PERKORO,Terdakwa Penganiayaan Takmir Masjid Bantah Tarik Alat Kelamin Korban,"GRESIK – Sidang kasus penganiayaan terhadap Imron, 49, takmir masjid dengan terdakwa Maftuhin ,39, warga Desa Serah RT 01 RW 05, Kecamatan Panceng terus berlanjut. Dalam sidang lanjutan di Pengadilan Negeri (PN) Gresik, terdakwa membantah kalau dirinya dituduh menarik alat kelamin korban. “Saya tidak mengambil paving yang mulia dan menarik alat kelaminnya. Hanya saja menarik baju dan ludahi,” ujar terdakwa dihadapan Ketua Majels Hakim Rina Indrajanti dan Jaksa Penuntut Umum (JPU) AA Ngurah Wirajaya dari Kejaksaan Negeri Gresik. Menurut terdakwa, kasus ini memang bermula saat dirinya mendengar korban mengatakan kalau pasir yang dikirim kualitasnya jelek. Hal tersebut membuat terdakwa emosi hingga mendatangi rumah korban untuk mengajak ke waduk Desa Sawo, Kecamatan Dukun. “Saya akui memang mengeluarkan kata-kata tak jur koen (tak habisi kamu. red). Pada saat itu korban lari. Kemudian saya kejar. Lalu saya tarik bajunya dari belakang. Setelah itu saya ludahi,” akunya. Sidang pun ditunda pekan depan dengan agrnda sidang tuntutan dari jaksa. Seperti diberitakan sebelumnya, terdakwa Maftuhin diseret oleh Jaksa AA Ngurah Wirajaya ke Pengadilan Negeri (PN) Gresik atas ulahnya melakukan penganiayaan pada korban Imron yang juga menjadi takmir Masjid Desa Serah Kecamatan Panceng. Terdakwa yang diketahui sebagai pengusaha material nekat aniaya korban karena dikatakan pasir yang dikirim ke masjid untuk pembangunan kwalitasnya jelek. Akibat perbuatan terdakwa, korban Imron mengalami bengkak pada punggung sebelah kiri, sesuai Visum et Repertum Nomor: 08/VER/X/2019 tertanggal 14 Oktober 2019. Perbuatan tersebut dilakukan pada hari Minggu tanggal tanggal 13 Oktober 2019 sekitar pukul 21.00 WIB, bertempat di sekitar waduk Desa Sawo, KecamatanKecamatan Dukun.(yud/rof)"
4,https://radargresik.jawapos.com/pojok-perkoro/16/10/2020/polisi-gagalkan-transaksi-sabu-dua-pria-diamankan,16 October 2020 09:22 AM,POJOK PERKORO,"Polisi Gagalkan Transaksi Sabu, Dua Pria Diamankan","GRESIK – Jajaran Satreskoba Polres Gresik menggerebek transaksi jual beli sabu di Jalan Gang Kelurahan Tambak Osowilangun Kecmatan Benowo Surabaya. Hasilnya, dua orang pelaku baik penjual maupun pembeli berhasil tangkap. Keduanya langsung dibawa ke Mapolres Gresik untuk mempertanggungjawabkan perbuatannya. Penangkapan ini dilakukan setelah adanya informasi dari masyarakat. Polisi kemudian, melakukan pengembangan dan mendapatkan laporan jika akan ada transaksi yang dilakukan pengedar Hisyam alias Neo ,30, warga asal Kelurahan Tambak Osowilangun RT 1 RW 1 Kecamatan Benowo Surabaya dengan pengguna Didik Syarif Hidayat alias Wakjo. Polisi kemudian menerjunkan tim untuk melakukan penggerebekan. Kasatreskoba Polres Gresik AKP Hery Kusnanto mengatakan, pelaku ditangkap Rabu (14/10) sekitar pukul 16.00. “Barang sabu yang telah diedarkan satu plastik klip yang di dalamnya berisi kristal warna putih jenis sabu dengan berat 1,46 gram, yang sudah dibeli oleh Didik Syarif Hidayat alias Wakjo,” ujarnya. Selain barang bukti sabu, polisi juga mengamankan uang tunai Rp 1 juta, dan satu Hp Vivo warna gold. Kedua pelaku beserta barang bukti diamankan di Mapolres Gresik untuk dilakukan pengembangan. “Keduanya dijerat pasal 114 ayat (1) UU 35/2009 tentang Narkotika,” pungkasnya. (yud/rof)"
5,https://radargresik.jawapos.com/kota-gresik/22/09/2020/tabrak-truk-tiga-penumpang-innova-tewas-di-tol-sumo,22 September 2020 09:33 AM,KOTA GRESIK,"Tabrak Truk, Tiga Penumpang Innova Tewas di Tol Sumo","GRESIK – Kecelakaan maut kembali terjadi di jalan tol Surabaya-Mojokerto (Sumo), tepatnya, di kilometer 727.600 Desa Karangandong, Kecamatan Driyorejo. Kecelakaan yang melibatkan mobil Kijang Innova L 1587 JC dengan truk tronton N 9329 UV menyebabkan tiga penumpang mobil Kijang Innova tewas di tempat kejadian perkara (TKP). Mobil Kijang Innova yang dikemudikan Andi Prihanto ,54, warga asal Jalan Mustika Baru 111 Wonokromo Surabaya. Bodi mobil bagian depan hingga belakang ringsek akibat benturan yang sangat keras. Kronologis laka maut itu bermula mobil Kijang Innova L 1587 JC yang dikemudikan Andi Prihanto melaju dengan kecepatan tinggi. Mobil yang berpenumpang Slamet Riyadi ,41, asal Jalan Manggar X/35 Jakarta Utara, Afif Bagus Setiawan ,24, asal Jalan Rogojampi III Kabupaten Tegal, dan Agus Rohmat ,32, warga Desa Ketileng, Kecamatan Kramat, Tegal. Berjalan dari arah barat ke timur. Saat melintas di kilometer 727.600 Tol Sumo, pengemudinya mengantuk sehingga tidak memperhatikan arah depan. Mobil yang dikemudikan Andi Prihanto itu, menabrak bagian belakang truk tronton N 9329 UV yang dikemudikan Yogi Hadi Saputra ,31, asal Desa Jabon, Kecamatan Banyakan, Kabupaten Kediri yang berjalan searah. Tabrakan yang sangat keras itu menyebabkan tiga penumpang mobil Kijang Innova tewas di TKP. Sementara pengemudinya mengalami luka serius dan kini masih menjalani perawatan medis di RS Petrokimia Gresik Legundi, Driyorejo. Sementara korban laka yang tewas dievakuasi ke RS Anwar Medika Krian, Sidoarjo. Kanit Laka Satlantas Polres Gresik Ipda Yossy Eka menuturkan, diduga pengemudi mobil Kijang Innova mengantuk berat saat mengendarai dari tegal menuju Surabaya. Berdasarkan olah TKP benturan antara mobil tersebut dengan truk tronton sangat keras. “Mobil Kijang Innova kerusakannya sangat parah. Bodi bagian hingga belakang ringsek,” tuturnya, Senin (21/09). Saat ini kasus kecelakaan ini ditangani oleh unit PJR Ditlantas Polda Jatim. “Berdasarkan data di TKP tiga penumpang mobil Kijang Innova tewas. Sementara pengemudinya selamat kendati mengalami luka serius,” pungkasnya.(yud/han)"
6,https://radargresik.jawapos.com/kota-gresik/22/09/2020/aksi-demonstrasi-forkot-tolak-kek-jiipe,22 September 2020 09:31 AM,KOTA GRESIK,"Aksi Demonstrasi, Forkot Tolak KEK JIIPE","GRESIK – Lembaga Swadaya Masyarakat Forum Kota (Forkot) Gresik kembali menggelar aksi menolak adanya Kawasan Ekonomi Khusus (KEK) pada kawasan Java Integrated Industrial and Ports Estate (JIIPE) Manyar, Senin (21/9). Selain mendatangi kawasan, puluhan massa juga mendatangi kantor bupati Gresik. Koordinator aksi Farid mengungkapkan manajemen JIIPE telah mengajukan ke pemerintah untuk perubahan status yang awalnya kawasan industri menjadi kawasan ekonomi khusus (KEK). Diakuinya, dalam analisa Forkot, pemberlakukan KEK itu menimbulkan efek negatif utamanya di masyarakat antara lain konsep itu hanya menguntungkan asing dan pemodal besar. “Juga mengurangi pendapatan daerah dan mengancam hak buruh serta mengancam lingkungan hidup, sudah banyak contohnya di kota-kota besar,” kata Farid. Dalam aksinya kali ini manajemen JIIPE menolak berudiensi dengan forkot karena alasan pandemi Covid-19. Meski demikian Forkot tetap akan menyatakan penolakannya terhadap usulan status kawasan ekonomi khusus (KEK) bagi industri di JIIPE. Terpisah, Community Development manajemen JIIPE (PT Berkah Kawasan Manyar Sejahtera), Mifti Haris mengungkapkan pemahaman kawasan ekonomi khusus di JIIPE yang dikemukanan Forkot mungkin ada kesalahpahaman. “Penetapan KEK itu merupakan kewenangan pemerintah. Kami mengusulkan untuk menarik para investor masuk ke Gresik ini” kata Mifti. Dijelaskan Mifti, proses KEK saat ini terus berjalan termasuk di Pemda Gresik. “Jadi prosesnya tetap jalan. Kalau pun ada kekurangan disana sini itu hal biasa dan kita benahi,” ujarnya. Terkait Freeport yang juga menjadi salah satu penolakan Forkot, Mifti mengaku tidak tahu alasan penolakannya. Namun, Mifti menilai Freeport adalah harapan berbagai pihak karena sebagian besar sahamnya milik pemerintah melalui undang-undang minerba. “Intinya kami mendukung semua program pemerintah termasuk smelter,” jelasnya. Mifti menyebut, pihaknya bersedia bertemu dan audiensi dengan berbagai pihak termasuk Forkot setelah pandemi Covid-19 berakhir. (fir/han)"
7,https://radargresik.jawapos.com/pojok-perkoro/02/09/2020/dua-pengedar-ditangkap-ribuan-pil-koplo-disita,2 September 2020 10:15 AM,POJOK PERKORO,"Dua Pengedar Ditangkap, Ribuan Pil Koplo Disita","GRESIK – Peredaran obat keras pil koplo masih marak terjadi di wilayah Gresik selatan. Hal ini dibuktikan dengan penangkapan dua orang jaringan pengedar pil koplo oleh jajaran Unit Reskrim Polsek Menganti. Dari penangkapan itu, petugas berhasil menyita ribuan pil koplo siap edar. Kapolsek Menganti AKP Tatak S menuturkan, polisi melakukan penangkapan terhadap Bagus Donny Kurniawan alias Bagong ,22, warga asal Perumahan Taman Gading Bolk EL Desa Gadingwatu Kecamatan Menganti. Ia diamankan dikediamannya, Selasa (25/8) tengah malam. “Dari tangan tersangka, petugas menyita dua bungkus plastik masing-masing berisi 900 butir pil koplo siap edar. Total 1.800 butir obat keras dan satu buah handphone merk Oppo ikut kami gelandang ke Mapolsek Menganti,” Ujarnya. Tidak mau buang waktu, polisi pun menginterogasi Bagong. Diperoleh keterangan tersangka mendapatkan barang berbahaya itu dari Joni,20, Masih di hari yang sama, jajaran Polsek Menganti langsung bergerak meringkus Joni di kediamannya di Dusun Kecipik, Desa Boteng Kecamatan Menganti. Tersangka tidak berkutik. “Dari penggeledahan ditemukan satu plastik berisi 900 butir pil koplo sia edar,” ujarnya. Tersangka bersama barang bukti pil koplo dan satu buah HP Xiomi langsung diseret ke rutan Mapolsek Menganti untuk mempertanggungjawabkan perbuatannya. Jika ditotal, ada 2.700 butir pil koplo yang diamankan petugas dari tangan Bagong dan Joni. Penangkapan dua tersangka baru tersebut bermula dari laporan masyarakat dan pengembangan kasus sebelumnya. Keduanya ditenggarai sebagai bandar asal muasal obat keras pil koplo itu beredar. Atas perbuatannya, keduanya harus meringkuk di balik jeruji besi tahanan. Serta dijerat dengan pasal 196 dan atau pasal 197 UU RI No. 36 tahun 2009 tentang kesehatan.(yud/han)"
