,Link,Date Time,Category,Title,Content
0,https://radarmadiun.jawapos.com/pemkot-madiun-serukan-warga-bersatu-melawan-covid-19-radar-madiun,26 March 2020 14:16 PM,News,Pemkot Madiun Serukan Warga Bersatu Melawan Covid-19 – Radar Madiun,"MADIUN, Jawa Pos Radar Madiun – Kawasan pedestrian ikonik ala Malioboro di depan Balai Kota Madiun dalam pengawasan ketat. Tak siapa pun diperbolehkan singgah di sepanjang trotoar berbangku artistik tepian Jalan Pahlawan itu. Jika ada yang masih nekat nongkrong di sana, maka bersiaplah menghadapi semprotan petugas. Larangan melintas terpampang cukup jelas. Hari-hari ini, Pemkot Madiun terus menyerukan ajakan physical distancing. Tanpa partisipasi publik, mata rantai penyebaran Covid-19 sulit diputus. Semua pihak harus bersatu melawan virus yang kian mengglobal ini. ‘’Kami sterilkan sesuai perintah pimpinan,’’ kata Kabid Ketenteraman dan Ketertiban Umum Satpol PP Kota Madiun Dianto. Sejak Senin (23/3) satpol PP juga menyiagakan petugas jaga. Mereka disiagakan secara bergiliran selama 1×24 jam. Di awal masa pelarangan, beberapa warga masih melanggarnya. Namun, itu lebih karena ketidaktahuan. ‘’Tapi sekarang sudah tidak ada lagi,’’ ujarnya. Dianto berharap keputusan ini dipatuhi seluruh warga. Agar semuanya dapat saling bebas dan saling menjaga dari ancaman virus Covid-19. ‘’Kami meminimalkan risiko penyebaran,’’ tuturnya. Wali Kota Madiun Maidi menegaskan bahwa penutupan sementara dilakukan untuk percepatan penanganan Covid-19. Apalagi lokasi tersebut merupakan titik sentral yang dikunjungi warga. Baik dari dalam maupun luar kota. ‘’Kami minta masyarakat memahami kondisi ini,’’ ujarnya. Maidi tidak ingin warga ada yang terinfeksi korona. Agar Kota Madiun tetap steril dan tidak menjadi wilayah dengan klaster penyebaran yang baru. Mengingat penyebaran virus Covid-19 begitu cepatnya. ‘’Kalau sudah kena ke satu orang lalu berpindah ke orang lain, itu semakin berbahaya persebarannya,’’ ungkap Maidi. Pihaknya juga meminta warga yang mengalami gejala klinis mirip infeksi Covid-19 seperti panas di atas 38 derajat Celsius, disertai batuk, pilek, dan sesak napas, lekas memeriksakan diri ke dokter. ‘’Mari kita lawan bersama virus korona ini,’’ ucapnya. Tidak hanya jalur pedestrian, beberapa pusat perdagangan juga ikut ditutup. Seperti Sunday Market, pasar burung, Lapangan Gulun, Bundaran Taman, dan alun-alun Kota Madiun. Pun, seluruh pedagang di berbagai jalan protokol dilarang berjualan untuk sementara waktu. Khusus warung atau kafe tetap diperbolehkan buka asalkan tidak menyajikan makanan di tempat. (kid/c1/fin)"
1,https://radarmadiun.jawapos.com/ditumbur-teman-siswi-smk-bendo-tewas-disantap-motor-radar-madiun,29 January 2020 14:48 PM,News,"Ditumbur Teman, Siswi SMK Bendo Tewas Disantap Motor – Radar Madiun","MAGETAN, Jawa Pos Radar Magetan – Kecelakaan maut merenggut siswi SMK Bendo di Jalan Raya Kawedanan-Bendo, tepatnya masuk Dukuh Jatisari, Desa Belotan, Kecamatan Bendo, Kabupaten Magetan, Rabu pagi (29/1). Korban yang hendak berangkat ke sekolah ditabrak pengendara lain setelah jatuh dari motor usai ditumbur kendaraan temannya.
Korban adalah Wahyu Ninik Susanti, 16, warga Desa Giripurno, Kecamatan Kawedanan. Dia tewas seketika di lokasi kejadian. Sedangkan, Oilin Denti Nur Lita asal Desa Lembeyanwetan, Kecamatan Lembeyan mengalami luka ringan.
Kejadian bermula ketika mereka berangkat ke sekolah bersama dengan naik sepeda motor masing-masing. Korban naik Honda Beat nopol AE 4979 QZ. Sedangkan, Oilin naik sepeda motor Honda Vario nopol AE 4919 QS.
Sesampainya di lokasi kejadian, Oilin menabrak motor Wahyu dari belakang karena tidak memperhatikan arus. Tumburan itu membuat korban jatuh dari sepeda motornya di jalur sebelah kanan. Apes dari arah berlawanan melaju sepeda motor lain yang identitasnya belum diketahui menabrak tubuh korban. Wahyu meninggal di TKP. Sementara, pengendara motor yang menabrak langsung kabur.
Kasus itu saat ini ditangani oleh Unit Laka Lantas Polres Magetan. ‘’Kami mintai keterangan dari korban selamat untuk mengungkap ciri-ciri pengendara yang menabrak korban,’’ terang Kanit Laka Lantas Polres Magetan Ipda Yudi Wiyanto. (fat/her)"
